gsi_id,fish_id,collection,mixture_collection,id_source,pbt_brood_year,pbt_brood_collection,repunit_1,prob_1,repunit_2,prob_2,repunit_3,prob_3,repunit_4,prob_4,repunit_5," prob_5",top_collection,top_collection_prob,file_name
401_2021_2021_1605,1605,WC_Microtrolling(21),WC_Microtrolling(21),GSI,,,SWVI,98.457369999999997,NPS,1.2858099999999999,QP-fall,0.25680999999999998,,,,,ROBERTSON_CREEK,97.538240000000002,GSI results Aug 12-2022.xlsx
401_2021_2021_1606,1606,WC_Microtrolling(21),WC_Microtrolling(21),PBT,2020,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,GSI results Aug 12-2022.xlsx
401_2021_2021_1607,1607,WC_Microtrolling(21),WC_Microtrolling(21),GSI,,,SPS,99.804860000000005,NPS,0.19514000000000001,,,,,,,SOOS_CREEK,99.788839999999993,GSI results Aug 12-2022.xlsx
401_2021_2021_1608,1608,WC_Microtrolling(21),WC_Microtrolling(21),PBT,2020,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,GSI results Aug 12-2022.xlsx
401_2021_2021_1609,1609,WC_Microtrolling(21),WC_Microtrolling(21),PBT,2020,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,GSI results Aug 12-2022.xlsx
401_2021_2021_1610,1610,WC_Microtrolling(21),WC_Microtrolling(21),PBT,2020,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,GSI results Aug 12-2022.xlsx
401_2021_2021_1611,1611,WC_Microtrolling(21),WC_Microtrolling(21),GSI,,,NPS,99.998400000000004,MCR-Sp,1.6000000000000001E-3,,,,,,,SKAGIT_RIVER,99.998400000000004,GSI results Aug 12-2022.xlsx
401_2021_2021_1612,1612,WC_Microtrolling(21),WC_Microtrolling(21),GSI,,,SWVI,99.981570000000005,NoKy,1.8429999999999998E-2,,,,,,,NAHMINT_RIVER,52.805799999999998,GSI results Aug 12-2022.xlsx
401_2021_2021_1613,1613,WC_Microtrolling(21),WC_Microtrolling(21),PBT,2020,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,GSI results Aug 12-2022.xlsx
401_2021_2021_1614,1614,WC_Microtrolling(21),WC_Microtrolling(21),PBT,2020,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,GSI results Aug 12-2022.xlsx
401_2021_2021_1615,1615,WC_Microtrolling(21),WC_Microtrolling(21),PBT,2020,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,GSI results Aug 12-2022.xlsx
401_2021_2021_1616,1616,WC_Microtrolling(21),WC_Microtrolling(21),GSI,,,NPS,99.995869999999996,MCR-Sp,4.13E-3,,,,,,,SKAGIT_RIVER,99.954329999999999,GSI results Aug 12-2022.xlsx
401_2021_2021_1617,1617,WC_Microtrolling(21),WC_Microtrolling(21),PBT,2020,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,GSI results Aug 12-2022.xlsx
